Xreal,Ximg,Yreal,Yimg
1.1371570825576782,-0.06134094297885895,26.208587646484375,-1.8587614297866821
1.1374990940093994,0.08268502354621887,26.244321823120117,1.4710605144500732
1.1178054809570312,0.22574520111083984,25.818822860717773,4.754794120788574
1.078412413597107,0.36511996388435364,24.978242874145508,8.000349044799805
1.0200862884521484,0.4981304705142975,23.716367721557617,11.057278633117676
0.94400954246521,0.6222103834152222,22.005617141723633,13.972567558288574
0.8517587184906006,0.73497474193573,19.923261642456055,16.563114166259766
0.7452196478843689,0.8343024849891663,17.485759735107422,18.874990463256836
0.6266335248947144,0.9183517694473267,14.833192825317383,20.853607177734375
0.4984199106693268,0.9856582283973694,11.941012382507324,22.38681411743164
0.3631719648838043,1.0351357460021973,8.900548934936523,23.622987747192383
0.22356867790222168,1.06610107421875,5.68886137008667,24.43108367919922
0.08230341225862503,1.0782766342163086,2.453235626220703,24.733665466308594
-0.057961154729127884,1.0717813968658447,-0.7222088575363159,24.629112243652344
-0.19475886225700378,1.0470894575119019,-3.9046521186828613,24.136735916137695
-0.32563766837120056,1.0050430297851562,-6.897820472717285,23.22810173034668
-0.4484390914440155,0.9467615485191345,-9.70839786529541,21.985340118408203
-0.5611917972564697,0.8736335039138794,-12.335391998291016,20.42331314086914
-0.6621559262275696,0.7872676253318787,-14.737068176269531,18.503414154052734
-0.7498327493667603,0.6894551515579224,-16.79520034790039,16.27842140197754
-0.8229518532752991,0.5821608901023865,-18.5105037689209,13.857443809509277
-0.8805652260780334,0.4673466384410858,-19.940988540649414,11.251402854919434
-0.9218825697898865,0.347246378660202,-20.93707275390625,8.482458114624023
-0.9464558362960815,0.2240123450756073,-21.635807037353516,5.6768903732299805
-0.9541090726852417,0.0998603105545044,-21.879240036010742,2.755615711212158
-0.9449735283851624,-0.022999953478574753,-21.714609146118164,-0.09574984759092331
-0.919505774974823,-0.14239799976348877,-21.22722053527832,-2.8664231300354004
-0.8785109519958496,-0.2561948597431183,-20.33177375793457,-5.5682477951049805
-0.8230789303779602,-0.36253777146339417,-19.0625,-8.1026029586792
-0.7547271251678467,-0.45946428179740906,-17.511920928955078,-10.44184398651123
-0.6752016544342041,-0.5453888177871704,-15.694436073303223,-12.528027534484863
-0.5865311026573181,-0.6189123392105103,-13.591267585754395,-14.333115577697754
